asset,liab,m_d,m_p,ir,gn
72000000.0,0.0,23.04.2018,32,1.7447,113
0.0,10200000.0,23.04.2018,32,1.7447,79
21400000.0,0.0,23.04.2018,32,1.7447,114
0.0,5000000.0,23.04.2018,32,1.7447,115
35000000.0,0.0,23.04.2018,32,1.7447,116
12300000.0,0.0,23.04.2018,32,1.7447,117
24600000.0,0.0,23.04.2018,32,1.7447,118
20800000.0,0.0,23.04.2018,32,1.7447,119
0.0,20800000.0,23.04.2018,32,1.7447,104
30600000.0,0.0,23.04.2018,32,1.7447,94
0.0,52700000.0,23.04.2018,32,1.7447,120
20400000.0,0.0,25.04.2018,34,1.7452,121
14300000.0,0.0,25.04.2018,34,1.7452,122
0.0,30000000.0,25.04.2018,34,1.7452,123
0.0,10000000.0,25.04.2018,34,1.7452,44
11200000.0,0.0,25.04.2018,34,1.7452,66
0.0,20800000.0,25.04.2018,34,1.7452,119
0.0,9000000.0,25.04.2018,34,1.7452,124
14600000.0,0.0,25.04.2018,34,1.7452,125
0.0,14600000.0,25.04.2018,34,1.7452,125
14300000.0,0.0,25.04.2018,34,1.7452,126
0.0,10200000.0,25.04.2018,34,1.7452,111
10200000.0,0.0,25.04.2018,34,1.7452,127
10200000.0,0.0,25.04.2018,34,1.7452,128
12500000.0,0.0,25.04.2018,34,1.7452,129
27400000.0,0.0,25.04.2018,34,1.7452,130
25300000.0,0.0,25.04.2018,34,1.7452,131
0.0,14300000.0,25.04.2018,34,1.7452,75
0.0,24900000.0,25.04.2018,34,1.7452,132
0.0,20700000.0,25.04.2018,34,1.7452,61
0.0,50000000.0,25.04.2018,34,1.7452,35
20500000.0,0.0,25.04.2018,34,1.7452,133
0.0,22000000.0,25.04.2018,34,1.7452,134
0.0,12500000.0,25.04.2018,34,1.7452,129
0.0,52000000.0,25.04.2018,34,1.7452,67
10200000.0,0.0,25.04.2018,34,1.7452,135
0.0,10200000.0,25.04.2018,34,1.7452,127
10400000.0,0.0,25.04.2018,34,1.7452,136
25000000.0,0.0,25.04.2018,34,1.7452,132
0.0,11200000.0,26.04.2018,35,1.7525,137
20000000.0,0.0,26.04.2018,35,1.7525,69
51900000.0,0.0,26.04.2018,35,1.7525,138
0.0,30800000.0,26.04.2018,35,1.7525,57
10200000.0,0.0,26.04.2018,35,1.7525,139
0.0,10000000.0,26.04.2018,35,1.7525,51
16700000.0,0.0,26.04.2018,35,1.7525,140
0.0,54800000.0,26.04.2018,35,1.7525,39
50000000.0,0.0,26.04.2018,35,1.7525,141
50000000.0,0.0,26.04.2018,35,1.7525,142
12300000.0,0.0,26.04.2018,35,1.7525,143
15500000.0,0.0,26.04.2018,35,1.7525,144
0.0,16700000.0,26.04.2018,35,1.7525,140
0.0,50000000.0,26.04.2018,35,1.7525,37
20500000.0,0.0,26.04.2018,35,1.7525,145
10200000.0,0.0,26.04.2018,35,1.7525,146
50000000.0,0.0,26.04.2018,35,1.7525,147
20900000.0,0.0,26.04.2018,35,1.7525,65
0.0,31500000.0,26.04.2018,35,1.7525,148
0.0,27300000.0,26.04.2018,35,1.7525,149
0.0,75000000.0,26.04.2018,35,1.7525,150
0.0,20400000.0,26.04.2018,35,1.7525,121
10200000.0,0.0,26.04.2018,35,1.7525,151
10300000.0,0.0,26.04.2018,35,1.7525,152
20800000.0,0.0,26.04.2018,35,1.7525,153
9000000.0,0.0,26.04.2018,35,1.7525,124
109500000.0,0.0,26.04.2018,35,1.7525,154
10400000.0,0.0,26.04.2018,35,1.7525,155
0.0,10400000.0,26.04.2018,35,1.7525,98
0.0,10400000.0,26.04.2018,35,1.7525,136
20500000.0,0.0,26.04.2018,35,1.7525,156
0.0,12300000.0,26.04.2018,35,1.7525,117
121700000.0,0.0,27.04.2018,36,1.7603,157
111000000.0,0.0,27.04.2018,36,1.7603,158
102500000.0,0.0,27.04.2018,36,1.7603,159
0.0,20500000.0,27.04.2018,36,1.7603,107
0.0,5400000.0,27.04.2018,36,1.7603,30
0.0,20100000.0,27.04.2018,36,1.7603,160
27400000.0,0.0,27.04.2018,36,1.7603,161
27500000.0,0.0,27.04.2018,36,1.7603,162
0.0,30000000.0,27.04.2018,36,1.7603,163
10200000.0,0.0,27.04.2018,36,1.7603,164
0.0,10200000.0,27.04.2018,36,1.7603,128
10300000.0,0.0,27.04.2018,36,1.7603,165
17000000.0,0.0,27.04.2018,36,1.7603,68
10300000.0,0.0,27.04.2018,36,1.7603,166
55000000.0,0.0,27.04.2018,36,1.7603,167
24500000.0,0.0,27.04.2018,36,1.7603,168
16700000.0,0.0,27.04.2018,36,1.7603,169
109800000.0,0.0,27.04.2018,36,1.7603,170
25000000.0,0.0,27.04.2018,36,1.7603,171
0.0,20500000.0,27.04.2018,36,1.7603,133
1000000.0,0.0,27.04.2018,36,1.7603,105
0.0,109500000.0,27.04.2018,36,1.7603,154
10400000.0,0.0,27.04.2018,36,1.7603,172
7600000.0,0.0,27.04.2018,36,1.7603,173
0.0,208600000.0,27.04.2018,36,1.7603,174
0.0,1000000.0,27.04.2018,36,1.7603,157
0.0,135400000.0,27.04.2018,36,1.7603,175
9000000.0,0.0,27.04.2018,36,1.7603,176
27000000.0,0.0,27.04.2018,36,1.7603,177
6300000.0,0.0,27.04.2018,36,1.7603,178
14600000.0,0.0,27.04.2018,36,1.7603,179
20800000.0,0.0,27.04.2018,36,1.7603,180
20000000.0,0.0,27.04.2018,36,1.7603,160
20500000.0,0.0,27.04.2018,36,1.7603,181
0.0,10200000.0,27.04.2018,36,1.7603,135
54800000.0,0.0,27.04.2018,36,1.7603,182
13000000.0,0.0,27.04.2018,36,1.7603,183
7000000.0,0.0,27.04.2018,36,1.7603,184
51900000.0,0.0,27.04.2018,36,1.7603,185
0.0,27400000.0,27.04.2018,36,1.7603,130
0.0,1000000.0,27.04.2018,36,1.7603,157
9400000.0,0.0,27.04.2018,36,1.7603,186
12200000.0,0.0,27.04.2018,36,1.7603,187
0.0,210000000.0,27.04.2018,36,1.7603,188
100000000.0,0.0,27.04.2018,36,1.7603,189
0.0,104000000.0,27.04.2018,36,1.7603,190
14000000.0,0.0,27.04.2018,36,1.7603,191
0.0,52000000.0,27.04.2018,36,1.7603,138
102600000.0,0.0,27.04.2018,36,1.7603,192
15100000.0,0.0,27.04.2018,36,1.7603,193
0.0,52100000.0,27.04.2018,36,1.7603,194
24600000.0,0.0,27.04.2018,36,1.7603,195
20500000.0,0.0,27.04.2018,36,1.7603,196
31000000.0,0.0,27.04.2018,36,1.7603,29
0.0,30700000.0,27.04.2018,36,1.7603,197
10200000.0,0.0,27.04.2018,36,1.7603,198
0.0,100000000.0,27.04.2018,36,1.7603,189
0.0,53500000.0,27.04.2018,36,1.7603,199
0.0,104900000.0,27.04.2018,36,1.7603,200
208400000.0,0.0,27.04.2018,36,1.7603,174
16700000.0,0.0,27.04.2018,36,1.7603,201
10400000.0,0.0,27.04.2018,36,1.7603,202
31300000.0,0.0,27.04.2018,36,1.7603,148
0.0,20500000.0,27.04.2018,36,1.7603,145
0.0,20500000.0,27.04.2018,36,1.7603,156
25000000.0,0.0,27.04.2018,36,1.7603,203
0.0,20800000.0,27.04.2018,36,1.7603,153
0.0,20500000.0,30.04.2018,39,1.7603,181
0.0,16800000.0,30.04.2018,39,1.7603,76
18500000.0,0.0,30.04.2018,39,1.7603,204
61600000.0,0.0,30.04.2018,39,1.7603,89
46400000.0,0.0,30.04.2018,39,1.7603,205
0.0,14400000.0,30.04.2018,39,1.7603,206
0.0,68500000.0,30.04.2018,39,1.7603,207
61600000.0,0.0,30.04.2018,39,1.7603,208
20700000.0,0.0,30.04.2018,39,1.7603,209
0.0,10800000.0,30.04.2018,39,1.7603,210
0.0,20500000.0,30.04.2018,39,1.7603,196
0.0,53100000.0,30.04.2018,39,1.7603,211
0.0,15700000.0,30.04.2018,39,1.7603,212
0.0,20600000.0,30.04.2018,39,1.7603,213
10700000.0,0.0,30.04.2018,39,1.7603,214
0.0,10400000.0,30.04.2018,39,1.7603,155
6400000.0,0.0,30.04.2018,39,1.7603,215
0.0,8200000.0,30.04.2018,39,1.7603,216
0.0,43000000.0,30.04.2018,39,1.7603,217
31700000.0,0.0,30.04.2018,39,1.7603,26
0.0,89200000.0,30.04.2018,39,1.7603,218
0.0,22500000.0,30.04.2018,39,1.7603,219
0.0,12500000.0,30.04.2018,39,1.7603,220
0.0,20900000.0,30.04.2018,39,1.7603,221
0.0,16000000.0,30.04.2018,39,1.7603,28
0.0,3000000.0,30.04.2018,39,1.7603,222
14300000.0,0.0,30.04.2018,39,1.7603,223
14600000.0,0.0,30.04.2018,39,1.7603,224
0.0,31300000.0,30.04.2018,39,1.7603,225
0.0,40000000.0,30.04.2018,39,1.7603,226
122000000.0,0.0,30.04.2018,39,1.7603,227
30900000.0,0.0,30.04.2018,39,1.7603,228
10200000.0,0.0,30.04.2018,39,1.7603,229
0.0,4800000.0,30.04.2018,39,1.7603,230
0.0,12300000.0,30.04.2018,39,1.7603,143
0.0,28700000.0,30.04.2018,39,1.7603,231
21200000.0,0.0,30.04.2018,39,1.7603,232
7800000.0,0.0,30.04.2018,39,1.7603,233
0.0,14300000.0,30.04.2018,39,1.7603,122
10200000.0,0.0,30.04.2018,39,1.7603,234
0.0,10300000.0,30.04.2018,39,1.7603,62
0.0,14300000.0,30.04.2018,39,1.7603,126
22000000.0,0.0,30.04.2018,39,1.7603,134
11300000.0,0.0,30.04.2018,39,1.7603,95
25000000.0,0.0,30.04.2018,39,1.7603,235
0.0,29250000.0,30.04.2018,39,1.7603,236
30500000.0,0.0,30.04.2018,39,1.7603,236
0.0,12200000.0,30.04.2018,39,1.7603,187
0.0,49300000.0,30.04.2018,39,1.7603,237
10400000.0,0.0,30.04.2018,39,1.7603,238
0.0,23000000.0,30.04.2018,39,1.7603,45
0.0,20700000.0,30.04.2018,39,1.7603,83
0.0,10300000.0,30.04.2018,39,1.7603,91
50000000.0,0.0,30.04.2018,39,1.7603,239
102300000.0,0.0,30.04.2018,39,1.7603,240
0.0,31300000.0,30.04.2018,39,1.7603,241
20500000.0,0.0,30.04.2018,39,1.7603,242
6300000.0,0.0,30.04.2018,39,1.7603,243
0.0,25000000.0,30.04.2018,39,1.7603,168
0.0,8200000.0,30.04.2018,39,1.7603,244
35000000.0,0.0,27.04.2018,36,1.7669,245
0.0,55600000.0,30.04.2018,39,1.7669,246
102300000.0,0.0,30.04.2018,39,1.7669,247
0.0,50000000.0,30.04.2018,39,1.7669,141
20000000.0,0.0,30.04.2018,39,1.7669,248
48700000.0,0.0,30.04.2018,39,1.7669,237
18900000.0,0.0,30.04.2018,39,1.7669,249
0.0,10000000.0,30.04.2018,39,1.7669,72
0.0,4000000.0,30.04.2018,39,1.7669,250
0.0,1000000.0,30.04.2018,39,1.7669,158
30900000.0,0.0,30.04.2018,39,1.7669,251
0.0,10500000.0,30.04.2018,39,1.7669,252
50000000.0,0.0,30.04.2018,39,1.7669,253
20000000.0,0.0,30.04.2018,39,1.7669,254
22000000.0,0.0,30.04.2018,39,1.7669,255
0.0,40000000.0,30.04.2018,39,1.7669,256
0.0,60200000.0,30.04.2018,39,1.7669,33
0.0,40000000.0,30.04.2018,39,1.7669,257
0.0,261500000.0,30.04.2018,39,1.7669,95
0.0,40000000.0,30.04.2018,39,1.7669,258
0.0,17000000.0,30.04.2018,39,1.7669,259
0.0,15000000.0,30.04.2018,39,1.7669,193
0.0,10000000.0,30.04.2018,39,1.7669,73
18900000.0,0.0,30.04.2018,39,1.7669,260
7600000.0,0.0,30.04.2018,39,1.7669,261
0.0,1200000.0,30.04.2018,39,1.7669,50
0.0,10000000.0,30.04.2018,39,1.7669,74
0.0,20000000.0,30.04.2018,39,1.7669,248
0.0,15000000.0,30.04.2018,39,1.7669,262
11000000.0,0.0,30.04.2018,39,1.7669,263
0.0,2500000.0,30.04.2018,39,1.7669,218
1000000.0,0.0,30.04.2018,39,1.7669,110
0.0,10000000.0,30.04.2018,39,1.7669,77
17200000.0,0.0,30.04.2018,39,1.7669,264
0.0,10000000.0,30.04.2018,39,1.7669,81
5600000.0,0.0,30.04.2018,39,1.7669,265
10000000.0,0.0,30.04.2018,39,1.7669,266
0.0,20800000.0,30.04.2018,39,1.7669,180
15000000.0,0.0,30.04.2018,39,1.7669,262
10300000.0,0.0,30.04.2018,39,1.7669,267
0.0,53600000.0,30.04.2018,39,1.7669,268
16400000.0,0.0,30.04.2018,39,1.7669,78
30800000.0,0.0,30.04.2018,39,1.7669,197
80000000.0,0.0,30.04.2018,39,1.7723,269
20500000.0,0.0,30.04.2018,39,1.7723,270
10600000.0,0.0,30.04.2018,39,1.7723,271
0.0,20500000.0,30.04.2018,39,1.7723,242
10600000.0,0.0,30.04.2018,39,1.7723,272
62100000.0,0.0,30.04.2018,39,1.7723,273
0.0,50000000.0,30.04.2018,39,1.7723,142
0.0,41200000.0,30.04.2018,39,1.7723,274
21000000.0,0.0,30.04.2018,39,1.7723,275
28000000.0,0.0,30.04.2018,39,1.7723,276
51100000.0,0.0,30.04.2018,39,1.7723,97
123000000.0,0.0,30.04.2018,39,1.7723,277
10300000.0,0.0,30.04.2018,39,1.7723,278
12700000.0,0.0,30.04.2018,39,1.7723,279
37100000.0,0.0,30.04.2018,39,1.7723,280
0.0,12000000.0,30.04.2018,39,1.7723,281
16000000.0,0.0,30.04.2018,39,1.7723,282
0.0,79600000.0,30.04.2018,39,1.7723,283
0.0,31500000.0,30.04.2018,39,1.7723,284
21200000.0,0.0,30.04.2018,39,1.7723,285
0.0,14000000.0,30.04.2018,39,1.7723,191
14300000.0,0.0,30.04.2018,39,1.7723,286
0.0,10200000.0,30.04.2018,39,1.7723,139
10600000.0,0.0,30.04.2018,39,1.7723,287
10000000.0,0.0,30.04.2018,39,1.7723,288
0.0,28000000.0,30.04.2018,39,1.7723,276
0.0,27500000.0,30.04.2018,39,1.7723,162
20500000.0,0.0,30.04.2018,39,1.7723,289
0.0,20500000.0,30.04.2018,39,1.7723,270
10200000.0,0.0,30.04.2018,39,1.7723,290
0.0,20900000.0,30.04.2018,39,1.7723,291
0.0,16700000.0,30.04.2018,39,1.7723,169
18800000.0,0.0,30.04.2018,39,1.7723,292
75000000.0,0.0,30.04.2018,39,1.7723,101
12000000.0,0.0,30.04.2018,39,1.7723,71
0.0,27000000.0,30.04.2018,39,1.7723,93
0.0,71600000.0,30.04.2018,39,1.7723,113
10200000.0,0.0,30.04.2018,39,1.7723,293
0.0,6400000.0,30.04.2018,39,1.7723,178
20600000.0,0.0,30.04.2018,39,1.7723,213
0.0,90000000.0,30.04.2018,39,1.7723,294
0.0,10000000.0,30.04.2018,39,1.7723,186
0.0,46400000.0,30.04.2018,39,1.7723,205
10300000.0,0.0,30.04.2018,39,1.7723,295
20600000.0,0.0,30.04.2018,39,1.7723,296
0.0,79000000.0,30.04.2018,39,1.7723,297
20900000.0,0.0,30.04.2018,39,1.7723,221
0.0,142900000.0,30.04.2018,39,1.7723,298
0.0,14300000.0,01.05.2018,40,1.7734,223
23400000.0,0.0,01.05.2018,40,1.7734,299
35100000.0,0.0,01.05.2018,40,1.7734,300
0.0,50800000.0,01.05.2018,40,1.7734,301
0.0,53000000.0,01.05.2018,40,1.7734,302
0.0,20500000.0,01.05.2018,40,1.7734,289
56300000.0,0.0,01.05.2018,40,1.7734,303
0.0,38400000.0,01.05.2018,40,1.7734,304
0.0,155100000.0,01.05.2018,40,1.7734,305
34600000.0,0.0,01.05.2018,40,1.7734,112
6000000.0,0.0,01.05.2018,40,1.7734,306
10300000.0,0.0,01.05.2018,40,1.7734,307
0.0,10300000.0,01.05.2018,40,1.7734,152
5100000.0,0.0,01.05.2018,40,1.7734,308
123500000.0,0.0,01.05.2018,40,1.7734,175
0.0,84000000.0,01.05.2018,40,1.7734,309
54000000.0,0.0,01.05.2018,40,1.7734,268
0.0,2600000.0,01.05.2018,40,1.7734,273
98000000.0,0.0,01.05.2018,40,1.7734,310
0.0,102800000.0,01.05.2018,40,1.7734,192
10300000.0,0.0,01.05.2018,40,1.7734,311
10300000.0,0.0,01.05.2018,40,1.7734,312
2100000.0,0.0,01.05.2018,40,1.7734,188
12000000.0,0.0,01.05.2018,40,1.7734,175
53100000.0,0.0,01.05.2018,40,1.7734,211
0.0,10600000.0,01.05.2018,40,1.7734,214
0.0,10600000.0,01.05.2018,40,1.7734,271
0.0,13500000.0,01.05.2018,40,1.7734,313
0.0,90000000.0,01.05.2018,40,1.7734,314
30000000.0,0.0,01.05.2018,40,1.7734,70
0.0,102500000.0,01.05.2018,40,1.7734,159
0.0,19600000.0,01.05.2018,40,1.7734,292
0.0,13100000.0,01.05.2018,40,1.7734,183
97000000.0,0.0,01.05.2018,40,1.7734,315
0.0,54800000.0,01.05.2018,40,1.7734,182
50300000.0,0.0,01.05.2018,40,1.7734,316
0.0,13100000.0,01.05.2018,40,1.7734,317
0.0,15900000.0,01.05.2018,40,1.7734,109
23400000.0,0.0,01.05.2018,40,1.7734,318
29600000.0,0.0,01.05.2018,40,1.7734,163
48600000.0,0.0,01.05.2018,40,1.7734,319
106100000.0,0.0,01.05.2018,40,1.7734,22
6400000.0,0.0,01.05.2018,40,1.7734,320
0.0,11100000.0,01.05.2018,40,1.7734,321
0.0,75000000.0,01.05.2018,40,1.7734,322
0.0,20900000.0,01.05.2018,40,1.7734,323
0.0,11000000.0,01.05.2018,40,1.7734,263
0.0,6200000.0,01.05.2018,40,1.7734,215
20000000.0,0.0,01.05.2018,40,1.7734,324
10300000.0,0.0,01.05.2018,40,1.7734,325
0.0,103500000.0,01.05.2018,40,1.7734,326
115000000.0,0.0,01.05.2018,40,1.7734,327
106900000.0,0.0,01.05.2018,40,1.7734,328
0.0,10200000.0,01.05.2018,40,1.7734,146
0.0,204900000.0,01.05.2018,40,1.7734,329
50400000.0,0.0,01.05.2018,40,1.7734,330
0.0,10400000.0,01.05.2018,40,1.7734,172
50800000.0,0.0,01.05.2018,40,1.7734,301
0.0,2100000.0,01.05.2018,40,1.7734,52
50000000.0,0.0,02.05.2018,41,1.7734,331
0.0,4200000.0,02.05.2018,41,1.7778,332
0.0,10200000.0,02.05.2018,41,1.7778,151
0.0,108600000.0,02.05.2018,41,1.7778,170
16000000.0,0.0,02.05.2018,41,1.7778,333
20500000.0,0.0,02.05.2018,41,1.7778,334
0.0,1000000.0,02.05.2018,41,1.7778,170
0.0,10400000.0,02.05.2018,41,1.7778,202
0.0,54800000.0,02.05.2018,41,1.7778,335
50000000.0,0.0,02.05.2018,41,1.7778,336
0.0,31000000.0,02.05.2018,41,1.7778,228
50400000.0,0.0,02.05.2018,41,1.7778,337
0.0,16700000.0,02.05.2018,41,1.7778,201
0.0,10500000.0,02.05.2018,41,1.7778,338
0.0,7400000.0,02.05.2018,41,1.7778,184
10400000.0,0.0,02.05.2018,41,1.7778,339
0.0,20000000.0,02.05.2018,41,1.7778,254
9000000.0,0.0,02.05.2018,41,1.7778,340
183500000.0,0.0,02.05.2018,41,1.7778,341
0.0,10800000.0,02.05.2018,41,1.7778,342
0.0,16600000.0,02.05.2018,41,1.7778,343
0.0,5000000.0,02.05.2018,41,1.7778,314
0.0,10400000.0,02.05.2018,41,1.7778,238
16400000.0,0.0,02.05.2018,41,1.7778,344
14400000.0,0.0,02.05.2018,41,1.7778,87
10400000.0,0.0,02.05.2018,41,1.7778,345
0.0,20800000.0,02.05.2018,41,1.7778,346
46300000.0,0.0,03.05.2018,42,1.787,347
50900000.0,0.0,03.05.2018,42,1.787,348
0.0,5200000.0,03.05.2018,42,1.787,349
0.0,80000000.0,03.05.2018,42,1.787,269
0.0,5400000.0,03.05.2018,42,1.787,84
31000000.0,0.0,03.05.2018,42,1.787,85
10900000.0,0.0,03.05.2018,42,1.787,350
0.0,12700000.0,03.05.2018,42,1.787,27
0.0,30800000.0,03.05.2018,42,1.787,251
0.0,20500000.0,03.05.2018,42,1.787,334
12800000.0,0.0,03.05.2018,42,1.787,317
2100000.0,0.0,03.05.2018,42,1.787,217
10400000.0,0.0,03.05.2018,42,1.787,351
16700000.0,0.0,03.05.2018,42,1.787,352
20000000.0,0.0,03.05.2018,42,1.787,353
0.0,56000000.0,03.05.2018,42,1.787,303
20500000.0,0.0,03.05.2018,42,1.787,354
11000000.0,0.0,03.05.2018,42,1.787,355
0.0,5000000.0,03.05.2018,42,1.787,356
